task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
163	93/c513da	2601	minimap_pipeline:minimap (m03_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:21:15.040	25s	24.5s	216.1%	4 GB	6.8 GB	1.6 GB	124 MB
160	2b/be23a6	113653	minimap_pipeline:minimap (oy53_SQK-NBD114-24_barcode12)	COMPLETED	0	2024-12-22 19:20:07.415	2m 10s	2m 10s	190.5%	5.7 GB	10.4 GB	5.9 GB	4.2 GB
162	83/a2c612	117354	minimap_pipeline:minimap (oy37_SQK-NBD114-24_barcode23)	COMPLETED	0	2024-12-22 19:20:27.572	2m 26s	2m 26s	205.0%	6.3 GB	10.9 GB	7.2 GB	5.4 GB
155	ea/637a2f	96431	minimap_pipeline:minimap (m24_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:18:35.445	4m 39s	4m 38s	220.7%	7.2 GB	10.5 GB	11.9 GB	9.8 GB
164	b6/1c2d95	6674	minimap_pipeline:minimap (sd1_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:21:40.015	2m 11s	2m 11s	187.6%	4.7 GB	9.3 GB	5.6 GB	3.9 GB
166	c5/51f6c3	17546	minimap_pipeline:minimap (oy20_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:22:53.844	1m 13s	1m 12s	199.3%	4.3 GB	9.3 GB	3.6 GB	2 GB
165	74/c934f5	12317	minimap_pipeline:minimap (oy34_SQK-NBD114-24_barcode20)	COMPLETED	0	2024-12-22 19:22:17.588	2m 29s	2m 28s	215.3%	5.4 GB	9.8 GB	7.3 GB	5.4 GB
168	5f/f869de	25917	minimap_pipeline:minimap (oy58_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:23:50.997	1m 25s	1m 23s	201.6%	4.7 GB	9.9 GB	3.7 GB	2.1 GB
169	30/aaa2bd	28712	minimap_pipeline:minimap (oy10_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:24:06.771	2m 21s	2m 21s	218.5%	5.8 GB	10.5 GB	6 GB	4.3 GB
170	73/4aa453	34165	minimap_pipeline:minimap (oy54_SQK-NBD114-24_barcode13)	COMPLETED	0	2024-12-22 19:24:46.667	1m 52s	1m 51s	195.0%	5.7 GB	10.6 GB	5.8 GB	4.1 GB
167	a5/f9e0d2	21051	minimap_pipeline:minimap (m25_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:23:14.411	3m 30s	3m 30s	215.1%	6.5 GB	10.3 GB	9.3 GB	7.4 GB
